school name,y,type elem,type middle,sqft,capacity,pop last year,pop this year,%capacity,baseline kWh/sqft,baseline kWh/student,baseline kWh/weekday,baseline kWh/weekend,basline kWh,WN^0,WN^1,WN^2,WN^3,start_month,,,,,,,,
Bfkitchen,6.95,1.00,0.00,30297.00,,,219.00,,0.39,54.00,,,11900.00,644.95,-0.35,0.02,,1.00,,,,,,,,
Conrad,10.45,0.00,1.00,93060.00,,,638.00,,0.55,80.00,,,51048.00,3758.00,-50.27,0.63,,1.00,,,,,,,,
Laurene,18.88,1.00,0.00,31853.00,,,210.00,,0.56,86.00,,,17984.00,1132.00,-7.28,0.09,,1.00,,,,,,,,
Lincoln,18.97,1.00,0.00,40474.00,,,208.00,,0.43,84.00,,,17420.00,1155.00,-12.83,0.20,,1.00,,,,,,,,
Namaqua,1.13,1.00,0.00,51291.00,,,323.00,,0.56,89.00,,,28647.00,1956.00,-12.10,0.04,,1.00,,,,,,,,
SaraMilner,5.58,1.00,0.00,36729.00,,,298.00,,0.43,53.00,,,15752.00,956.80,-1.00,-0.04,,1.00,,,,,,,,
WalkClark,18.56,0.00,1.00,107992.00,,,494.00,,0.46,100.00,,,49635.00,3177.00,-23.28,0.30,,1.00,,,,,,,,
Burlington,5.16,1.00,0.00,47200.00,494.00,401.00,372.00,75.00,,,1732.00,854.00,21981.00,,,,,1.00,,,,,,,,
EagleCrest,7.94,1.00,0.00,50280.00,470.00,501.00,512.00,109.00,,,1699.00,923.00,33469.00,,,,,1.00,,,,,,,,
FallRiver,6.97,1.00,0.00,51349.00,608.00,485.00,527.00,87.00,,,1953.00,696.00,38460.00,,,,,1.00,,,,,,,,
Lyons,4.05,1.00,0.00,44755.00,259.00,321.00,325.00,125.00,,,1211.00,582.00,23898.00,,,,,1.00,,,,,,,,
PrairieRidge,10.28,1.00,0.00,47438.00,400.00,411.00,404.00,101.00,,,1585.00,554.00,31150.00,,,,,1.00,,,,,,,,
RedHawk,3.90,1.00,0.00,71157.00,650.00,557.00,651.00,100.00,,,2184.00,959.00,43305.00,,,,,1.00,,,,,,,,
ThunderValley,7.07,0.00,1.00,126269.00,925.00,,531.00,57.00,,,2918.00,1621.00,57878.00,,,,,1.00,,,,,,,,
Timberline,7.13,0.00,1.00,161050.00,1225.00,414.00,601.00,49.00,,,3713.00,1976.00,73335.00,,,,,1.00,,,,,,,,
Westview,9.73,0.00,1.00,104631.00,644.00,658.00,730.00,113.00,,,2551.00,1241.00,50219.00,,,,,1.00,,,,,,,,
Alpine,4.80,1.00,0.00,,,,497.00,,,,,,29086.00,1885.00,-19.00,0.23,,2.00,,,,,,,,
BlueMountain,5.01,1.00,0.00,,,,560.00,,,,,,31362.00,1975.00,-11.27,0.06,,2.00,,,,,,,,
ErieHigh,8.17,0.00,0.00,,,,799.00,,,,,,65634.00,4473.00,-51.20,0.59,,2.00,,,,,,,,
LongsPeak,18.57,0.00,1.00,,,,467.00,,,,,,31395.00,1729.00,-0.05,-0.05,,2.00,,,,,,,,
Mead,9.21,1.00,0.00,,,,468.00,,,,,,22403.00,1478.80,-13.29,0.13,,2.00,,,,,,,,
MeadHigh,13.63,0.00,0.00,,,,871.00,,,,,,66024.00,4163.00,-29.59,0.27,,2.00,,,,,,,,
MountainView,19.32,1.00,0.00,,,,298.00,,,,,,18785.00,1517.00,-13.64,0.08,,2.00,,,,,,,,
RockyMountain,15.98,1.00,0.00,,,,384.00,,,,,,26814.00,1992.00,-26.34,0.31,,2.00,,,,,,,,
ThunderValley,6.32,0.00,1.00,,,,281.00,,,,,,54092.00,3389.00,-27.76,0.32,,2.00,,,,,,,,
TrailRidge,4.61,0.00,1.00,,,,671.00,,,,,,56175.00,3171.00,-17.00,0.28,,2.00,,,,,,,,
AuroraHills,0.70,0.00,1.00,129900.00,1101.00,938.00,928.00,84.00,0.51,70.70,2982.00,1160.00,65607.00,,,,,3.00,,,,,,,,
AuroraQuest,17.94,0.00,1.00,78100.00,613.00,600.00,589.00,96.00,0.74,98.34,2633.00,1196.00,57924.00,,,,,3.00,,,,,,,,
AuroraWestCollPrep,8.56,0.00,0.00,127151.00,1126.00,1066.00,1235.00,110.00,0.86,88.69,4978.00,2977.00,109527.00,,,,,3.00,,,,,,,,
Crawford,16.24,1.00,0.00,71715.00,701.00,699.00,723.00,103.00,0.84,82.84,2723.00,1513.00,59896.00,,,,,3.00,,,,,,,,
EastMiddle,2.97,0.00,1.00,117255.00,1126.00,989.00,1042.00,93.00,0.78,87.57,4148.00,1800.00,91247.00,,,,,3.00,,,,,,,,
Elkhart,20.88,1.00,0.00,69725.00,676.00,756.00,759.00,112.00,0.72,65.82,2271.00,1833.00,49955.00,,,,,3.00,,,,,,,,
SideCreek,19.56,1.00,0.00,63062.00,613.00,668.00,671.00,109.00,0.54,50.79,1549.00,718.00,34078.00,,,,,3.00,,,,,,,,
SouthMiddle,8.00,0.00,1.00,107032.00,1051.00,687.00,742.00,71.00,0.53,76.70,2587.00,1395.00,56913.00,,,,,3.00,,,,,,,,
Tollgate,7.42,1.00,0.00,68887.00,700.00,716.00,731.00,104.00,0.60,56.56,1879.00,819.00,41345.00,,,,,3.00,,,,,,,,
VistaPeak,5.29,0.00,1.00,112408.00,926.00,956.00,1046.00,113.00,0.66,70.72,3363.00,2430.00,73978.00,,,,,3.00,,,,,,,,
Alpine,14.98,1.00,0.00,,,,482.00,,,,1732.00,854.00,46668.00,,,,,4.00,,,,,,,,
Erie  ,15.60,1.00,0.00,,,,310.00,,,,1008.00,415.00,18618.00,,,,,4.00,,,,,,,,
ErieHigh,5.88,0.00,0.00,,,,758.00,,,,3540.00,2653.00,72558.00,,,,,4.00,,,,,,,,
LongmontEstate,9.87,1.00,0.00,,,,418.00,,,,1166.00,717.00,22958.00,,,,,4.00,,,,,,,,
Longmont   ,2.25,0.00,0.00,,,,1192.00,,,,4653.00,2596.00,127787.00,,,,,4.00,,,,,,,,
Mead,10.72,1.00,0.00,,,,451.00,,,,1118.00,552.00,30130.00,,,,,4.00,,,,,,,,
MeadHigh,9.31,0.00,0.00,,,,771.00,,,,3132.00,1508.00,84100.00,,,,,4.00,,,,,,,,
Northridge,10.97,1.00,0.00,,,,344.00,,,,920.00,496.00,25128.00,,,,,4.00,,,,,,,,
SilverCreek,6.15,0.00,0.00,,,,1013.00,,,,4349.00,3232.00,125883.00,,,,,4.00,,,,,,,,
Skyline,8.53,0.00,0.00,,,,1318.00,,,,4210.00,2228.00,114654.00,,,,,4.00,,,,,,,,
Sunset,9.01,0.00,1.00,,,,595.00,,,,2124.00,1107.00,40626.00,,,,,4.00,,,,,,,,
Bradford,4.47,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Carmody,13.67,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Chatfield,6.95,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Creighton,15.03,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Little,42.05,,,,,,,,,,,,,,,,,9.00,,,,,,,,
RalstonValley,30.82,,,,,,,,,,,,,,,,,9.00,,,,,,,,
WestJeff,6.88,,,,,,,,,,,,,,,,,9.00,,,,,,,,
WestJeffMiddle,25.45,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Westridge,9.15,,,,,,,,,,,,,,,,,9.00,,,,,,,,
Westwoods,17.79,,,,,,,,,,,,,,,,,9.00,,,,,,,,
BearCreek,1.20,,,,,,,,,,,,,,,,,10.00,,,,,,,,
Bell,2.97,0.00,1.00,128332.00,,,745.00,,0.49,85.00,,,63360.00,,,,,10.00,,,,,,,,
Campbell,8.26,1.00,0.00,44245.00,,,322.00,,0.54,74.00,,,23938.00,,,,,10.00,,,,,,,,
DeerCreek,13.68,0.00,1.00,120491.00,,,679.00,,0.47,84.00,,,57131.00,,,,,10.00,,,,,,,,
Eiber,7.33,1.00,0.00,58066.00,,,398.00,,0.43,63.00,,,24917.00,,,,,10.00,,,,,,,,
Foster,0.46,1.00,0.00,48534.00,,,543.00,,0.39,35.00,,,18871.00,,,,,10.00,,,,,,,,
Lakewood,2.63,0.00,0.00,247535.00,,,2100.00,,0.60,70.00,,,147332.00,,,,,10.00,,,,,,,,
Patterson,4.10,1.00,0.00,49847.00,,,484.00,,0.45,47.00,,,22658.00,,,,,10.00,,,,,,,,
Secrest,10.42,1.00,0.00,46373.00,,,399.00,,0.43,50.00,,,20039.00,,,,,10.00,,,,,,,,
Vivian,1.50,1.00,0.00,37843.00,,,210.00,,0.53,95.00,,,19904.00,,,,,10.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
